id,page,original_catalog_page,collection,section,product,sku,size,thickness,finish,unit,price,price_pl,price_npl,confidence
221,14,28,Histoire,Histoire base tiles,Reims,AHTO,,9 mm,"Matt
RT R10 B",€/mq,,46.3,52.05,low
222,14,28,Histoire,Histoire base tiles,Reims,AHT3,,20 mm,"Aextra20
RT R11 C",€/mq,,105.8,119.0,low
223,14,28,Histoire,Histoire base tiles,Reims,AHT0,,20 mm,"Aextra20
RT R11 C",€/mq,,96.45,108.5,low
224,14,28,Histoire,Histoire base tiles,Auxerre,AHS7,,9 mm,"Matt
RT R10 B",€/mq,,66.85,75.2,low
225,14,28,Histoire,Histoire base tiles,Auxerre,AHTC,,9 mm,"Grip
RT R11 C",€/mq,,70.2,78.95,low
226,14,28,Histoire,Histoire base tiles,Auxerre,AHTK,,9 mm,"Matt
RT R10 B",€/mq,,55.7,62.05,low
227,14,28,Histoire,Histoire base tiles,Auxerre,AHTP,,9 mm,"Matt
RT R10 B",€/mq,,46.3,52.05,low
228,15,29,Histoire,Histoire accessories and mosaics,Arras,AH02,"7,2x60 cm",,,€/pz,11.45,,,medium
229,15,29,Histoire,Histoire accessories and mosaics,Arras,AID1,33x120 cm,,,€/pz,228.6,,,medium
230,15,29,Histoire,Histoire accessories and mosaics,Arras,AID6,33x60 cm,,,€/pz,110.55,,,medium
231,15,29,Histoire,Histoire accessories and mosaics,Arras,AIDW,33x33 cm,,,€/pz,135.1,,,medium
232,15,29,Histoire,Histoire accessories and mosaics,Artois,AH03,"7,2x60 cm",,,€/pz,11.45,,,medium
233,15,29,Histoire,Histoire accessories and mosaics,Artois,AID2,33x120 cm,,,€/pz,228.6,,,medium
234,15,29,Histoire,Histoire accessories and mosaics,Artois,AID7,33x60 cm,,,€/pz,110.55,,,medium
235,15,29,Histoire,Histoire accessories and mosaics,Artois,AIDX,33x33 cm,,,€/pz,135.1,,,medium
236,15,29,Histoire,Histoire accessories and mosaics,Beaune,AH04,"7,2x60 cm",,,€/pz,11.45,,,medium
237,15,29,Histoire,Histoire accessories and mosaics,Beaune,AID3,33x120 cm,,,€/pz,228.6,,,medium
238,15,29,Histoire,Histoire accessories and mosaics,Beaune,AID8,33x60 cm,,,€/pz,110.55,,,medium
239,15,29,Histoire,Histoire accessories and mosaics,Beaune,AIDY,33x33 cm,,,€/pz,135.1,,,medium
240,15,29,Histoire,Histoire accessories and mosaics,Reims,AH05,"7,2x60 cm",,,€/pz,11.45,,,medium
241,15,29,Histoire,Histoire accessories and mosaics,Reims,AID4,33x120 cm,,,€/pz,228.6,,,medium
242,15,29,Histoire,Histoire accessories and mosaics,Reims,AID9,33x60 cm,,,€/pz,110.55,,,medium
243,15,29,Histoire,Histoire accessories and mosaics,Reims,AIDZ,33x33 cm,,,€/pz,135.1,,,medium
244,15,29,Histoire,Histoire accessories and mosaics,Auxerre,AH06,"7,2x60 cm",,,€/pz,11.45,,,medium
245,15,29,Histoire,Histoire accessories and mosaics,Auxerre,AID5,33x120 cm,,,€/pz,228.6,,,medium
246,15,29,Histoire,Histoire accessories and mosaics,Auxerre,AIEA,33x60 cm,,,€/pz,110.55,,,medium
247,15,29,Histoire,Histoire accessories and mosaics,Auxerre,AID0,33x33 cm,,,€/pz,135.1,,,medium
248,15,29,Histoire,Histoire accessories and mosaics,Arras,AHXM,30x30 cm,,,€/mq,175.35,,,medium
249,15,29,Histoire,Histoire accessories and mosaics,Arras,AHXG,30x30 cm,,,€/mq,197.75,,,medium
250,15,29,Histoire,Histoire accessories and mosaics,Arras,AHXB,30x30 cm,,,€/mq,247.2,,,medium
251,15,29,Histoire,Histoire accessories and mosaics,Artois,AHXN,30x30 cm,,,€/mq,175.35,,,medium
252,15,29,Histoire,Histoire accessories and mosaics,Artois,AHXH,30x30 cm,,,€/mq,197.75,,,medium
253,15,29,Histoire,Histoire accessories and mosaics,Artois,AHXC,30x30 cm,,,€/mq,247.2,,,medium
254,15,29,Histoire,Histoire accessories and mosaics,Beaune,AHXO,30x30 cm,,,€/mq,175.35,,,medium
255,15,29,Histoire,Histoire accessories and mosaics,Beaune,AHXI,30x30 cm,,,€/mq,197.75,,,medium
256,15,29,Histoire,Histoire accessories and mosaics,Beaune,AHXD,30x30 cm,,,€/mq,247.2,,,medium
257,15,29,Histoire,Histoire accessories and mosaics,Reims,AHXP,30x30 cm,,,€/mq,175.35,,,medium
258,15,29,Histoire,Histoire accessories and mosaics,Reims,AHXK,30x30 cm,,,€/mq,197.75,,,medium
259,15,29,Histoire,Histoire accessories and mosaics,Reims,AHXE,30x30 cm,,,€/mq,247.2,,,medium
260,15,29,Histoire,Histoire accessories and mosaics,Auxerre,AHXQ,30x30 cm,,,€/mq,175.35,,,medium
261,15,29,Histoire,Histoire accessories and mosaics,Auxerre,AHXL,30x30 cm,,,€/mq,197.75,,,medium
262,15,29,Histoire,Histoire accessories and mosaics,Auxerre,AHXF,30x30 cm,,,€/mq,247.2,,,medium
263,16,34,I.mat,I.mat base tiles,Area,AF3K,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,79.35,89.35,medium
264,16,34,I.mat,I.mat base tiles,Area,AF3F,20x80 cm,9 mm,"Matt
RT R10 B",€/mq,,65.55,73.75,medium
265,16,34,I.mat,I.mat base tiles,Area,AF5N,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,84.4,95.0,medium
266,16,34,I.mat,I.mat base tiles,Area,AF1Q,60x60 cm,20 mm,"Aextra20
RT R11 C",€/mq,,106.95,123.0,medium
267,16,34,I.mat,I.mat base tiles,Ratio,AF3J,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,79.35,89.35,medium
268,16,34,I.mat,I.mat base tiles,Ratio,AF3E,20x80 cm,9 mm,"Matt
RT R10 B",€/mq,,65.55,73.75,medium
269,16,34,I.mat,I.mat base tiles,Ratio,AF5M,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,84.4,95.0,medium
270,16,34,I.mat,I.mat base tiles,Square,AF3M,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,79.35,89.35,medium
271,16,34,I.mat,I.mat base tiles,Square,AF3H,20x80 cm,9 mm,"Matt
RT R10 B",€/mq,,65.55,73.75,medium
272,16,34,I.mat,I.mat base tiles,Square,AF5P,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,84.4,95.0,medium
273,16,34,I.mat,I.mat base tiles,Square,AF1R,60x60 cm,20 mm,"Aextra20
RT R11 C",€/mq,,106.95,123.0,medium
274,16,34,I.mat,I.mat base tiles,Rule,AF3L,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,83.45,93.95,medium
275,16,34,I.mat,I.mat base tiles,Rule,AF3G,20x80 cm,9 mm,"Matt
RT R10 B",€/mq,,69.55,78.2,medium
276,16,34,I.mat,I.mat base tiles,Rule,AF5O,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,89.0,100.1,medium
277,16,34,I.mat,I.mat base tiles,Cube,AF3N,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,83.45,93.95,medium
278,16,34,I.mat,I.mat base tiles,Cube,AF3I,20x80 cm,9 mm,"Matt
RT R10 B",€/mq,,69.55,78.2,medium
279,16,34,I.mat,I.mat base tiles,Cube,AF5Q,80x80 cm,9 mm,"Matt
RT R10 B",€/mq,,89.0,100.1,medium
280,16,34,I.mat,I.mat base tiles,Cube,AF1S,60x60 cm,20 mm,"Aextra20
RT R11 C",€/mq,,106.95,123.0,medium
281,16,34,I.mat,I.mat base tiles,Cube,AG00,,30 mm,"Aextra30
RT R11 C",€/mq,,117.9,135.55,low
282,17,35,I.mat,I.mat accessories and mosaics,Area,AF90,"7,2x80 cm",,,€/pz,17.55,,,medium
283,17,35,I.mat,I.mat accessories and mosaics,Area,AF9V,"7,2x60 cm",,,€/pz,11.35,,,medium
284,17,35,I.mat,I.mat accessories and mosaics,Area,AF9B,33x80 cm,,,€/pz,142.9,,,medium
285,17,35,I.mat,I.mat accessories and mosaics,Area,AF9G,33x33 cm,,,€/pz,135.1,,,medium
286,17,35,I.mat,I.mat accessories and mosaics,Ratio,AF9Z,"7,2x80 cm",,,€/pz,17.55,,,medium
287,17,35,I.mat,I.mat accessories and mosaics,Ratio,AF9U,"7,2x60 cm",,,€/pz,11.35,,,medium
288,17,35,I.mat,I.mat accessories and mosaics,Ratio,AF9A,33x80 cm,,,€/pz,142.9,,,medium
289,17,35,I.mat,I.mat accessories and mosaics,Ratio,AF9F,33x33 cm,,,€/pz,135.1,,,medium
290,17,35,I.mat,I.mat accessories and mosaics,Square,AF92,"7,2x80 cm",,,€/pz,17.55,,,medium
291,17,35,I.mat,I.mat accessories and mosaics,Square,AF9X,"7,2x60 cm",,,€/pz,11.35,,,medium
292,17,35,I.mat,I.mat accessories and mosaics,Square,AF9D,33x80 cm,,,€/pz,142.9,,,medium
293,17,35,I.mat,I.mat accessories and mosaics,Square,AF9I,33x33 cm,,,€/pz,135.1,,,medium
294,17,35,I.mat,I.mat accessories and mosaics,Rule,AF91,"7,2x80 cm",,,€/pz,17.55,,,medium
295,17,35,I.mat,I.mat accessories and mosaics,Rule,AF9W,"7,2x60 cm",,,€/pz,11.35,,,medium
296,17,35,I.mat,I.mat accessories and mosaics,Rule,AF9C,33x80 cm,,,€/pz,142.9,,,medium
297,17,35,I.mat,I.mat accessories and mosaics,Rule,AF9H,33x33 cm,,,€/pz,135.1,,,medium
298,17,35,I.mat,I.mat accessories and mosaics,Cube,AF93,"7,2x80 cm",,,€/pz,17.55,,,medium
299,17,35,I.mat,I.mat accessories and mosaics,Cube,AF9Y,"7,2x60 cm",,,€/pz,11.35,,,medium
300,17,35,I.mat,I.mat accessories and mosaics,Cube,AF9E,33x80 cm,,,€/pz,142.9,,,medium
301,17,35,I.mat,I.mat accessories and mosaics,Cube,AF9J,33x33 cm,,,€/pz,135.1,,,medium
302,17,35,I.mat,I.mat accessories and mosaics,Area,AIWS,32x54 cm,,Matt,€/mq,236.9,,,medium
303,17,35,I.mat,I.mat accessories and mosaics,Area,AF9Q,30x30 cm,,Matt,€/mq,175.35,,,medium
304,17,35,I.mat,I.mat accessories and mosaics,Ratio,AIWR,32x54 cm,,Matt,€/mq,236.9,,,medium
305,17,35,I.mat,I.mat accessories and mosaics,Ratio,AF9P,30x30 cm,,Matt,€/mq,175.35,,,medium
306,17,35,I.mat,I.mat accessories and mosaics,Square,AIWU,32x54 cm,,Matt,€/mq,236.9,,,medium
307,17,35,I.mat,I.mat accessories and mosaics,Square,AF9S,30x30 cm,,Matt,€/mq,175.35,,,medium
308,17,35,I.mat,I.mat accessories and mosaics,Rule,AIWT,32x54 cm,,Matt,€/mq,236.9,,,medium
309,17,35,I.mat,I.mat accessories and mosaics,Rule,AF9R,30x30 cm,,Matt,€/mq,175.35,,,medium
310,17,35,I.mat,I.mat accessories and mosaics,Cube,AIWV,32x54 cm,,Matt,€/mq,236.9,,,medium
311,17,35,I.mat,I.mat accessories and mosaics,Cube,AF9T,30x30 cm,,Matt,€/mq,175.35,,,medium
312,18,38,Join,Join base tiles large formats,Candle,AHHX,,6 mm,"Matt
RT",€/mq,,111.35,122.5,low
313,18,38,Join,Join base tiles large formats,Candle,AHNP,,6 mm,"Matt
RT R10 A",€/mq,,78.8,88.65,low
314,18,38,Join,Join base tiles large formats,Candle,AFIM,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
315,18,38,Join,Join base tiles large formats,Candle,AFIN,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
316,18,38,Join,Join base tiles large formats,Candle,AHGT,,,"Grip
RT R11C",€/mq,,82.75,93.1,low
317,18,38,Join,Join base tiles large formats,Candle,AFI8,,9 mm,"Soft
RT",€/mq,,64.4,72.4,low
318,18,38,Join,Join base tiles large formats,Candle,AFI4,,,"Matt
RT R10 B",€/mq,,64.4,72.4,low
319,18,38,Join,Join base tiles large formats,Candle,AEZF,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
320,18,38,Join,Join base tiles large formats,Candle,AFIE,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
321,18,38,Join,Join base tiles large formats,Candle,AHG2,,,"Grip
RT R11 C",€/mq,,68.65,77.25,low
322,18,38,Join,Join base tiles large formats,Ivory,AHF1,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
323,18,38,Join,Join base tiles large formats,Ivory,AHGM,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
324,18,38,Join,Join base tiles large formats,Ivory,AHGU,,,"Grip
RT R11C",€/mq,,82.75,93.1,low
325,18,38,Join,Join base tiles large formats,Ivory,AHFV,,9 mm,"Soft
RT",€/mq,,64.4,72.4,low
326,18,38,Join,Join base tiles large formats,Ivory,AHGF,,,"Matt
RT R10 B",€/mq,,64.4,72.4,low
327,18,38,Join,Join base tiles large formats,Ivory,AHD7,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
328,18,38,Join,Join base tiles large formats,Ivory,AHD0,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
329,18,38,Join,Join base tiles large formats,Ivory,AHG3,,,"Grip
RT R11 C",€/mq,,68.65,77.25,low
330,18,38,Join,Join base tiles large formats,Ginger,AHHY,,6 mm,"Matt
RT",€/mq,,111.35,122.5,low
331,18,38,Join,Join base tiles large formats,Ginger,AHNQ,,6 mm,"Matt
RT R10 A",€/mq,,78.8,88.65,low
332,18,38,Join,Join base tiles large formats,Ginger,AHF2,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
333,18,38,Join,Join base tiles large formats,Ginger,AHGN,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
334,18,38,Join,Join base tiles large formats,Ginger,AHGV,,,"Grip
RT R11C",€/mq,,82.75,93.1,low
335,18,38,Join,Join base tiles large formats,Ginger,AHFW,,9 mm,"Soft
RT",€/mq,,64.4,72.4,low
336,18,38,Join,Join base tiles large formats,Ginger,AHGI,,,"Matt
RT R10 B",€/mq,,64.4,72.4,low
337,18,38,Join,Join base tiles large formats,Ginger,AHD8,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
338,18,38,Join,Join base tiles large formats,Ginger,AHD1,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
339,18,38,Join,Join base tiles large formats,Ginger,AHG4,,,"Grip
RT R11 C",€/mq,,68.65,77.25,low
340,18,38,Join,Join base tiles large formats,Wing,AEZC,,6 mm,"Matt
RT",€/mq,,111.35,122.5,low
341,18,38,Join,Join base tiles large formats,Wing,AHNR,,6 mm,"Matt
RT R10 A",€/mq,,78.8,88.65,low
342,18,38,Join,Join base tiles large formats,Wing,AFCF,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
343,18,38,Join,Join base tiles large formats,Wing,AFDJ,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
344,18,38,Join,Join base tiles large formats,Wing,AHGW,,,"Grip
RT R11C",€/mq,,82.75,93.1,low
345,18,38,Join,Join base tiles large formats,Wing,AFI9,,9 mm,"Soft
RT",€/mq,,64.4,72.4,low
346,18,38,Join,Join base tiles large formats,Wing,AFI3,,,"Matt
RT R10 B",€/mq,,64.4,72.4,low
347,18,38,Join,Join base tiles large formats,Wing,AEZG,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
348,18,38,Join,Join base tiles large formats,Wing,AFB6,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
349,18,38,Join,Join base tiles large formats,Wing,AHG5,,,"Grip
RT R11 C",€/mq,,68.65,77.25,low
350,18,38,Join,Join base tiles large formats,Levity,AEZD,,6 mm,"Matt
RT",€/mq,,111.35,122.5,low
351,18,38,Join,Join base tiles large formats,Levity,AHNM,,6 mm,"Matt
RT R10 A",€/mq,,78.8,88.65,low
352,18,38,Join,Join base tiles large formats,Levity,AFCG,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
353,18,38,Join,Join base tiles large formats,Levity,AFDK,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
354,18,38,Join,Join base tiles large formats,Levity,AHGP,,,"Grip
RT R11C",€/mq,,82.75,93.1,low
355,18,38,Join,Join base tiles large formats,Levity,AFJA,,9 mm,"Soft
RT",€/mq,,64.4,72.4,low
356,18,38,Join,Join base tiles large formats,Levity,AFI5,,,"Matt
RT R10 B",€/mq,,64.4,72.4,low
357,18,38,Join,Join base tiles large formats,Levity,AEZH,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
358,18,38,Join,Join base tiles large formats,Levity,AFB8,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
359,18,38,Join,Join base tiles large formats,Levity,AHGY,,,"Grip
RT R11 C",€/mq,,68.65,77.25,low
360,18,38,Join,Join base tiles large formats,Manor,AFCH,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
361,18,38,Join,Join base tiles large formats,Manor,AFDL,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
362,18,38,Join,Join base tiles large formats,Manor,AHGX,,,"Grip
RT R11C",€/mq,,82.75,93.1,low
363,18,38,Join,Join base tiles large formats,Manor,AFJB,,9 mm,"Soft
RT",€/mq,,64.4,72.4,low
364,18,38,Join,Join base tiles large formats,Manor,AFI6,,,"Matt
RT R10 B",€/mq,,64.4,72.4,low
365,18,38,Join,Join base tiles large formats,Manor,AEZI,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
366,18,38,Join,Join base tiles large formats,Manor,AFCA,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
367,18,38,Join,Join base tiles large formats,Manor,AHG6,,,"Grip
RT R11 C",€/mq,,68.65,77.25,low
368,18,38,Join,Join base tiles large formats,Plati- num,AHFZ,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
369,18,38,Join,Join base tiles large formats,Plati- num,AHGK,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
370,18,38,Join,Join base tiles large formats,Plati- num,AHGQ,,,"Grip
RT R11C",€/mq,,82.75,93.1,low
371,18,38,Join,Join base tiles large formats,Plati- num,AHFT,,9 mm,"Soft
RT",€/mq,,64.4,72.4,low
372,18,38,Join,Join base tiles large formats,Plati- num,AHGE,,,"Matt
RT R10 B",€/mq,,64.4,72.4,low
373,18,38,Join,Join base tiles large formats,Plati- num,AHD5,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
374,18,38,Join,Join base tiles large formats,Plati- num,AHDY,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
375,18,38,Join,Join base tiles large formats,Plati- num,AHGZ,,,"Grip
RT R11 C",€/mq,,68.65,77.25,low
376,18,38,Join,Join base tiles large formats,Plume,AHFY,,9 mm,"Soft
RT",€/mq,,78.8,88.65,low
377,18,38,Join,Join base tiles large formats,Plume,AHGJ,,,"Matt
RT R10 B",€/mq,,78.8,88.65,low
378,18,38,Join,Join base tiles large formats,Plume,AHD4,,9 mm,"Soft
RT",€/mq,,65.4,73.6,low
379,18,38,Join,Join base tiles large formats,Plume,AHDX,,,"Matt
RT R10 B",€/mq,,65.4,73.6,low
380,18,38,Join,Join base tiles large formats,Glare,AEZB,,6 mm,"Matt
RT",€/mq,,116.5,128.1,low
381,18,38,Join,Join base tiles large formats,Glare,AHNN,,6 mm,"Matt
RT R10 A",€/mq,,81.65,91.8,low
382,18,38,Join,Join base tiles large formats,Glare,AFCE,,9 mm,"Soft
RT",€/mq,,81.65,91.8,low
383,18,38,Join,Join base tiles large formats,Glare,AFDI,,,"Matt
RT R10 B",€/mq,,81.65,91.8,low
384,18,38,Join,Join base tiles large formats,Glare,AHGR,,,"Grip
RT R11C",€/mq,,85.7,96.4,low
385,18,38,Join,Join base tiles large formats,Glare,AFI7,,9 mm,"Soft
RT",€/mq,,67.6,76.05,low
386,18,38,Join,Join base tiles large formats,Glare,AFI2,,,"Matt
RT R10 B",€/mq,,67.6,76.05,low
387,18,38,Join,Join base tiles large formats,Glare,AEZE,,9 mm,"Soft
RT",€/mq,,67.85,76.3,low
388,18,38,Join,Join base tiles large formats,Glare,AFB3,,,"Matt
RT R10 B",€/mq,,67.85,76.3,low
389,18,38,Join,Join base tiles large formats,Glare,AHG0,,,"Grip
RT R11 C",€/mq,,74.45,83.8,low
390,18,38,Join,Join base tiles large formats,Moon,AHHW,,6 mm,"Matt
RT",€/mq,,116.5,128.1,low
391,18,38,Join,Join base tiles large formats,Moon,AHNO,,6 mm,"Matt
RT R10 A",€/mq,,81.65,91.8,low
392,18,38,Join,Join base tiles large formats,Moon,AHF0,,9 mm,"Soft
RT",€/mq,,81.65,91.8,low
393,18,38,Join,Join base tiles large formats,Moon,AHGL,,,"Matt
RT R10 B",€/mq,,81.65,91.8,low
394,18,38,Join,Join base tiles large formats,Moon,AHGS,,,"Grip
RT R11C",€/mq,,85.7,96.4,low
395,18,38,Join,Join base tiles large formats,Moon,AHFU,,9 mm,"Soft
RT",€/mq,,67.6,76.05,low
396,18,38,Join,Join base tiles large formats,Moon,AHGG,,,"Matt
RT R10 B",€/mq,,67.6,76.05,low
397,18,38,Join,Join base tiles large formats,Moon,AHD6,,9 mm,"Soft
RT",€/mq,,67.85,76.3,low
398,18,38,Join,Join base tiles large formats,Moon,AHDZ,,,"Matt
RT R10 B",€/mq,,67.85,76.3,low
399,18,38,Join,Join base tiles large formats,Moon,AHG1,,,"Grip
RT R11 C",€/mq,,74.45,83.8,low
400,18,38,Join,Join base tiles large formats,Chim- ney,AHFX,,9 mm,"Soft
RT",€/mq,,81.65,91.8,low
401,18,38,Join,Join base tiles large formats,Chim- ney,AHGH,,,"Matt
RT R10 B",€/mq,,81.65,91.8,low
402,18,38,Join,Join base tiles large formats,Chim- ney,AHD3,,9 mm,"Soft
RT",€/mq,,67.85,76.3,low
403,18,38,Join,Join base tiles large formats,Chim- ney,AHDW,,,"Matt
RT R10 B",€/mq,,67.85,76.3,low
404,18,38,Join,Join base tiles large formats,Mocha,AHF3,,9 mm,"Soft
RT",€/mq,,81.65,91.8,low
405,18,38,Join,Join base tiles large formats,Mocha,AHGO,,,"Matt
RT R10 B",€/mq,,81.65,91.8,low
406,18,38,Join,Join base tiles large formats,Mocha,AHD9,,9 mm,"Soft
RT",€/mq,,67.85,76.3,low
407,18,38,Join,Join base tiles large formats,Mocha,AHD2,,,"Matt
RT R10 B",€/mq,,67.85,76.3,low
408,19,39,Join,Join base tiles small formats / Aextra20,Candle,AEZV,,9 mm,"Soft
RT",€/mq,,53.75,60.5,low
409,19,39,Join,Join base tiles small formats / Aextra20,Candle,AEZX,,,"Matt
RT R10 B",€/mq,,53.75,60.5,low
410,19,39,Join,Join base tiles small formats / Aextra20,Candle,AEZW,,9 mm,"Soft
RT",€/mq,,45.0,50.6,low
411,19,39,Join,Join base tiles small formats / Aextra20,Candle,AEZY,,,"Matt
RT R10 B",€/mq,,45.0,50.6,low
412,19,39,Join,Join base tiles small formats / Aextra20,Candle,AFBD,,9 mm,"Soft
RT",€/mq,,74.35,83.7,low
413,19,39,Join,Join base tiles small formats / Aextra20,Candle,AFDN,,,"Matt
RT R10 B",€/mq,,74.35,83.7,low
414,19,39,Join,Join base tiles small formats / Aextra20,Candle,AHUX,,"8,5 mm","Soft
NR",€/mq,,72.1,81.1,low
415,19,39,Join,Join base tiles small formats / Aextra20,Candle,AHE7,,20 mm,"Aextra20
RT R11 C",€/mq,,137.8,158.5,low
416,19,39,Join,Join base tiles small formats / Aextra20,Candle,AHEH,,20 mm,"Aextra20
RT R11 C",€/mq,,92.35,106.3,low
417,19,39,Join,Join base tiles small formats / Aextra20,Ivory,AHFB,,9 mm,"Soft
RT",€/mq,,53.75,60.5,low
418,19,39,Join,Join base tiles small formats / Aextra20,Ivory,AHF6,,,"Matt
RT R10 B",€/mq,,53.75,60.5,low
419,19,39,Join,Join base tiles small formats / Aextra20,Ivory,AHFL,,9 mm,"Soft
RT",€/mq,,45.0,50.6,low
420,19,39,Join,Join base tiles small formats / Aextra20,Ivory,AHGB,,,"Matt
RT R10 B",€/mq,,45.0,50.6,low
421,19,39,Join,Join base tiles small formats / Aextra20,Ivory,AHKS,,9 mm,"Soft
RT",€/mq,,74.35,83.7,low
422,19,39,Join,Join base tiles small formats / Aextra20,Ivory,AHKN,,,"Matt
RT R10 B",€/mq,,74.35,83.7,low
423,19,39,Join,Join base tiles small formats / Aextra20,Ginger,AHFC,,9 mm,"Soft
RT",€/mq,,53.75,60.5,low
424,19,39,Join,Join base tiles small formats / Aextra20,Ginger,AHF7,,,"Matt
RT R10 B",€/mq,,53.75,60.5,low
425,19,39,Join,Join base tiles small formats / Aextra20,Ginger,AHFM,,9 mm,"Soft
RT",€/mq,,45.0,50.6,low
426,19,39,Join,Join base tiles small formats / Aextra20,Ginger,AHGC,,,"Matt
RT R10 B",€/mq,,45.0,50.6,low
427,19,39,Join,Join base tiles small formats / Aextra20,Ginger,AHKT,,9 mm,"Soft
RT",€/mq,,74.35,83.7,low
428,19,39,Join,Join base tiles small formats / Aextra20,Ginger,AHKO,,,"Matt
RT R10 B",€/mq,,74.35,83.7,low
429,19,39,Join,Join base tiles small formats / Aextra20,Ginger,AHUY,,"8,5 mm","Soft
NR",€/mq,,72.1,81.1,low
430,19,39,Join,Join base tiles small formats / Aextra20,Wing,AEZZ,,9 mm,"Soft
RT",€/mq,,53.75,60.5,low
431,19,39,Join,Join base tiles small formats / Aextra20,Wing,AEZ1,,,"Matt
RT R10 B",€/mq,,53.75,60.5,low
432,19,39,Join,Join base tiles small formats / Aextra20,Wing,AEZ0,,9 mm,"Soft
RT",€/mq,,45.0,50.6,low
433,19,39,Join,Join base tiles small formats / Aextra20,Wing,AEZ2,,,"Matt
RT R10 B",€/mq,,45.0,50.6,low
434,19,39,Join,Join base tiles small formats / Aextra20,Wing,AFBU,,9 mm,"Soft
RT",€/mq,,74.35,83.7,low
435,19,39,Join,Join base tiles small formats / Aextra20,Wing,AFDO,,,"Matt
RT R10 B",€/mq,,74.35,83.7,low
436,19,39,Join,Join base tiles small formats / Aextra20,Wing,AHE8,,20 mm,"Aextra20
RT R11 C",€/mq,,137.8,158.5,low
437,19,39,Join,Join base tiles small formats / Aextra20,Wing,AFCS,,20 mm,"Aextra20
RT R11 C",€/mq,,92.35,106.3,low
438,19,39,Join,Join base tiles small formats / Aextra20,Levity,AEZ4,,9 mm,"Soft
RT",€/mq,,53.75,60.5,low
439,19,39,Join,Join base tiles small formats / Aextra20,Levity,AEZ6,,,"Matt
RT R10 B",€/mq,,53.75,60.5,low
440,19,39,Join,Join base tiles small formats / Aextra20,Levity,AEZ5,,9 mm,"Soft
RT",€/mq,,45.0,50.6,low
441,19,39,Join,Join base tiles small formats / Aextra20,Levity,AEZ7,,,"Matt
RT R10 B",€/mq,,45.0,50.6,low
442,19,39,Join,Join base tiles small formats / Aextra20,Levity,AFBV,,9 mm,"Soft
RT",€/mq,,74.35,83.7,low
443,19,39,Join,Join base tiles small formats / Aextra20,Levity,AFDP,,,"Matt
RT R10 B",€/mq,,74.35,83.7,low
444,19,39,Join,Join base tiles small formats / Aextra20,Levity,AHUV,,"8,5 mm","Soft
NR",€/mq,,72.1,81.1,low
445,19,39,Join,Join base tiles small formats / Aextra20,Levity,AHE5,,20 mm,"Aextra20
RT R11 C",€/mq,,137.8,158.5,low
446,19,39,Join,Join base tiles small formats / Aextra20,Levity,AFCT,,20 mm,"Aextra20
RT R11 C",€/mq,,92.35,106.3,low
447,19,39,Join,Join base tiles small formats / Aextra20,Manor,AEZ9,,9 mm,"Soft
RT",€/mq,,53.75,60.5,low
448,19,39,Join,Join base tiles small formats / Aextra20,Manor,AFAB,,,"Matt
RT R10 B",€/mq,,53.75,60.5,low
449,19,39,Join,Join base tiles small formats / Aextra20,Manor,AFAA,,9 mm,"Soft
RT",€/mq,,45.0,50.6,low
